plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,hazard_gfdl_esm4_aged,hazard_miroc6_aged
BRA-00b719115b61,bau,ssp370,Brazil,Companhia Hidro Eletrica do o Francisco solar project,-9.3817,-40.4969,solar,2.4,2018.0,0.0403283714814522,0.7549044749480577,32.0,1.2013142206662546,False,0.04844704615697996,0.906877480999694
BRA-00b719115b61,opt,ssp126,Brazil,Companhia Hidro Eletrica do o Francisco solar project,-9.3817,-40.4969,solar,2.4,2018.0,0.0277910947560312,0.7161860141686743,32.0,1.2013142206662546,False,0.03338583733830365,0.8603644434631121
BRA-00b719115b61,pes,ssp585,Brazil,Companhia Hidro Eletrica do o Francisco solar project,-9.3817,-40.4969,solar,2.4,2018.0,0.0201923487118288,0.7525490683823791,32.0,1.2013142206662546,False,0.024257355656171865,0.9040478975968937
BRA-00b82da54365,bau,ssp370,Brazil,Sol Do Sertão Solar Complex,-12.328,-42.638,solar,20.4,2021.0,0.0728063621918907,0.7806227421236399,29.0,1.1843042371396817,False,0.08622488323458248,0.9244948211046238
BRA-00b82da54365,opt,ssp126,Brazil,Sol Do Sertão Solar Complex,-12.328,-42.638,solar,20.4,2021.0,0.024847732933448,0.7168202521976359,29.0,1.1843042371396817,False,0.029427275396397678,0.8489332619451955
BRA-00b82da54365,pes,ssp585,Brazil,Sol Do Sertão Solar Complex,-12.328,-42.638,solar,20.4,2021.0,0.1029757762155143,0.779808637147501,29.0,1.1843042371396817,False,0.12195464809478125,0.9235306731319061
BRA-00c3c421b484,bau,ssp370,Brazil,Saulo Rilko Filho solar project,-17.49,-51.61,solar,1.0,2022.0,0.2464366495931284,0.6423999835606324,28.0,1.178554115951341,False,0.29043892769923985,0.7571031447124572
BRA-00c3c421b484,opt,ssp126,Brazil,Saulo Rilko Filho solar project,-17.49,-51.61,solar,1.0,2022.0,0.17409485052399,0.6042012633094136,28.0,1.178554115951341,False,0.2051802026509819,0.7120838857363094
BRA-00c3c421b484,pes,ssp585,Brazil,Saulo Rilko Filho solar project,-17.49,-51.61,solar,1.0,2022.0,0.3246809163325677,0.6671799536131686,28.0,1.178554115951341,False,0.38265403031460066,0.7863076804110247
BRA-00c8a8e94507,bau,ssp370,Brazil,Theodorus Willibrodus t solar project,-23.9849,-48.8804,solar,1.0,2023.0,0.0995632207936751,0.0536713929288837,27.0,1.1727634601725492,False,0.11676410732391392,0.06294384848355813
