plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,n_events,rate,event_multiplier,ccrs_gfdl_esm4,ccrs_miroc6,water_risk_band,heat_risk_band_gfdl_esm4,heat_risk_band_miroc6
BRA-cdc7f0e71bda,opt,ssp126,Brazil,Elias Fausto Cia de neamento Basico do Estado de S O Paulo besp solar project,-24.98,-48.63,solar,1.0,2025.0,0.080625617184195,0.0061372036891794,25.0,1.1610593998599958,False,239,1.9274193548387097,1.1921221864951768,0.11159590581182799,0.008494655033535987,Low,MEDIUM,LOW
BRA-cdc7f0e71bda,pes,ssp585,Brazil,Elias Fausto Cia de neamento Basico do Estado de S O Paulo besp solar project,-24.98,-48.63,solar,1.0,2025.0,0.1474459788926227,0.2349965955086943,25.0,1.1610593998599958,False,239,1.9274193548387097,1.1921221864951768,0.20408361693830784,0.32526458530638447,Low,MEDIUM,LOW
BRA-cde78dc1475b,bau,ssp370,Brazil,São Gotardo Ebes Sistemas de Energia II solar project,-19.3169,-46.0477,solar,2.5,2023.0,0.0342307333660561,0.4905699068979102,27.0,1.1727634601725492,False,239,1.9274193548387097,1.1921221864951768,0.04785721266375987,0.6858546707075447,Low-Medium,MEDIUM,LOW
BRA-cde78dc1475b,opt,ssp126,Brazil,São Gotardo Ebes Sistemas de Energia II solar project,-19.3169,-46.0477,solar,2.5,2023.0,0.0156678952690304,0.4156635780399189,27.0,1.1727634601725492,False,239,1.9274193548387097,1.1921221864951768,0.021904929347118334,0.5811298296799436,Low-Medium,LOW,LOW
BRA-cde78dc1475b,pes,ssp585,Brazil,São Gotardo Ebes Sistemas de Energia II solar project,-19.3169,-46.0477,solar,2.5,2023.0,0.0501757926389833,0.4964504262034575,27.0,1.1727634601725492,False,239,1.9274193548387097,1.1921221864951768,0.07014963872429603,0.6940760914983125,Low-Medium,MEDIUM,LOW
BRA-cdf6c6c1ca23,bau,ssp370,Brazil,Baldin power station,-21.9875,-47.4501,thermal,45.0,2010.0,0.1352528954804162,0.2886289041375943,40.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.16123797748991736,0.3440809202862157,Low-Medium,LOW,LOW
BRA-cdf6c6c1ca23,opt,ssp126,Brazil,Baldin power station,-21.9875,-47.4501,thermal,45.0,2010.0,0.269215334337107,0.2801911833156137,40.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.32093757300798204,0.33402212609088033,Low-Medium,MEDIUM,LOW
BRA-cdf6c6c1ca23,pes,ssp585,Brazil,Baldin power station,-21.9875,-47.4501,thermal,45.0,2010.0,0.2091930038997945,0.1975581211727566,40.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.24938362120851706,0.23551341937234566,Low-Medium,MEDIUM,LOW
BRA-ce17002d6d25,bau,ssp370,Brazil,REB Cassino wind farm,-32.2103,-52.212,wind,20.0,2015.0,0.0124789807765227,0.2032859233372367,35.0,1.1400000000000001,False,239,1.9274193548387097,1.1921221864951768,0.016959175627335055,0.27626949173022436,Low,LOW,LOW
BRA-ce17002d6d25,opt,ssp126,Brazil,REB Cassino wind farm,-32.2103,-52.212,wind,20.0,2015.0,0.0322266043093137,0.2479457193509878,35.0,1.1400000000000001,False,239,1.9274193548387097,1.1921221864951768,0.04379657699148869,0.33696301611669377,Low,LOW,LOW
